BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE,ABBREVIATION
HDFC Bank,HDFC0CVASM1,431848402,Vaijanath Appa Saraf Marat Nsbl,"Sadar Bazar, Hingoli",221396.0,Hingoli,Hingoli,Maharashtra,HDFC
HDFC Bank,HDFC0CVAMCO,,Vani Merchants Co-Op Bank Ltd,Paris Shivaji Road Vani Tal. Dindori Nasik,220140.0,Vani,Nasik,Maharashtra,HDFC
HDFC Bank,HDFC0CUUCB1,388808151,The Umreth Urban Cooperative Bank,Panchvati Umreth Anand District - 388220,276006.0,Umreth,Anand,Gujarat,HDFC
HDFC Bank,HDFC0CURBAN,577804152,The Urban Co-Operative Bank Ltd,"Old Santhe Maidana, Shikaripura - 577427",222264.0,Shikaripur,Shimoga,Karnataka,HDFC
HDFC Bank,HDFC0CUPCBA,362807111,The Una Peoples Co-Operative Bank,"Swastik, Opp School, B/H Dhruv Complex, Una - 362560",222527.0,Una,Junagadh,Gujarat,HDFC
HDFC Bank,HDFC0CUDYAM,411174306,Udyam Vikas Sahakari Bank Ltd Pune,"8/6, Erandwana, Behind Karve Road Telephone Exchange, Karve Road, Pune - 411004",25424320.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CUCUB9,504813202,Universal Coop Urban Bank Ltd,"Vysya Bank Road, Mancherial - 504208",7382030261.0,Mancheriyal,Adilabad,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CUCBNR,380136002,The Union Co-Operative Bank Ltd,"Near Parvati Jadav Hospital, Naroda, Ahmedabad - 382330",22837500.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CUAVNB,456537002,Ujjain Audhyogik Vikas Nagrik Sahak,Ksheer Sagar Hukumchand Kachhavya Marg Ujjain,2558639.0,Ujjain,Ujjain,Madhya Pradesh,HDFC
HDFC Bank,HDFC0CTZNBK,403639003,The Citizen Co-Op. Bank Ltd,"Lakshdeep Apartments, Near Damodar Temple, Vasco-Da-Gama - 403802",2512745.0,Panaji,North Goa,Goa,HDFC
HDFC Bank,HDFC0CTVCBL,380132005,The Vijay Co-Operative Bank Ltd,"Nobles, Opp Nehru Bridge, Ashram Road, Ahmedabad - 380009",26587688.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CTUCOB,800028251,The Tapindu Urban Coop Bank Ltd,"Arunachal Bhawan, 1St Floor, New Dakbunglow, Patna - 800001",9304815025.0,Patna,Patna,Bihar,HDFC
HDFC Bank,HDFC0CTUB15,431065005,Tirupati Urban Co-Op Bank Ltd,Aurangabad,2235600.0,Aurangabad,Aurangabad,Maharashtra,HDFC
HDFC Bank,HDFC0CTUB13,400065251,Tirupati Urban Co-Op Bank Ltd,"Airoli, Mumbai",2235600.0,Thane,Thane,Maharashtra,HDFC
HDFC Bank,HDFC0CTUB06,440344006,Tirupati Urban Co-Op Bank Ltd,"Anant Nagar Road, Nagpur",2235600.0,Nagpur,Nagpur,Maharashtra,HDFC
HDFC Bank,HDFC0CTUB03,440344003,Tirupati Urban Co-Op Bank Ltd,"Gandhibagh, C.A. Raod, Nagpur",2235600.0,Nagpur,Nagpur,Maharashtra,HDFC
HDFC Bank,HDFC0CTUB02,440344002,Tirupati Urban Co-Op Bank Ltd,"S.A.Road, Nagpur",2235600.0,Nagpur,Nagpur,Maharashtra,HDFC
HDFC Bank,HDFC0CTTCBL,380131001,Textile Traders Co-Op. Bank Ltd,"6, Vsant Vihar Society, NR Mithakali Six Roads, Navrangpura, Ahmedabad - 380009",26430545.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CTSMCB,422804201,The Sangamner Merch CO OP Bank Ltd,Indira Gandhi Marg New Nagar Road,9960936640.0,Sangamner,Ahmadnagar,Maharashtra,HDFC
HDFC Bank,HDFC0CTSCBL,380135002,The Sarangpur Co-Operative Bank Ltd,"First Dhal, Pritam Nagar, Ellisbridge, Ahmedabad - 380006",26579883.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
