Bank of Baroda,BARB0SABHAW,,"Sabhawala, Uttarakhand","Bank of Baroda Block Vikas Nagar Vpo Sabhawala Sabhawala, Dehradun - 248197",1800223344.0,Vikas Nagar,Vikas Nagar,Uttarakhand,
Bank of Baroda,BARB0SABARM,380012032,Sabarmati Branch,"Sabarmati Branch, Dharam Nagar Sabarmati Ahmedabad, Ahmedabad - 380005",1800223344.0,Ahmedabad,Ahmedabad,Gujarat,
Bank of Baroda,BARB0RUVABA,,Ruvabari,AT Labda Bhagat Faliya Vil Ruvabari TA Devgar Ariya Dahod DT Gujarat - 389380,1800223344.0,Devgad Baria,Dahod,Gujarat,
Bank of Baroda,BARB0ROHABS,221012024,"Rohania, Varanasi, U.P","G.T.Road, Rohania, Varanasi, Uttar Pradesh - 221108",1800223344.0,Rohania,Rohania,Uttar Pradesh,
Bank of Baroda,BARB0RIKHAB,,"Rikhabdeo, Udaipur, Raj","Near Gram Panchayat, Tehsil Kherwara, Post Office Rikhabdeo, Udaipur, Rajasthan - 313802",1800223344.0,Rikhabdeo,Udaipur,Rajasthan,
Bank of Baroda,BARB0RAWABH,493012504,"Rawabhata, Chhattisgarh","Block No 7, T.P. Nagar, Plot No W/2-22, Rawabhata, Birgaon, Bilaspur Road, Raipur, Chattisgarh - 493221",1800223344.0,Raipur,Raipur,Chandigarh,
Bank of Baroda,BARB0RABAUN,,Rabaun,Subshine Cottage Village Rabaun Solan HP - 173211,1800223344.0,Solan,Solan,Himachal Pradesh,
Bank of Baroda,BARB0RABALE,400012172,"Rabale, Navi Mumbai","51/1 Ttc Industrial Area, Rabale Midc, Navi Mumbai, Maharashtra - 400701",1800223344.0,Mumbai,Mumbai,Maharashtra,
Bank of Baroda,BARB0PURABG,230012515,"Purabgaon, UP","Purabgaon, Pratapgarh, UP - 230301",1800223344.0,Purabgaon,Purabgaon,Uttar Pradesh,
Bank of Baroda,BARB0PURABA,224012058,"Pura Bazar, UP",Vill PO Pura Bazar Faizabad Uttar Pradesh - 224001,1800223344.0,Purabazar,Purabazar,Uttar Pradesh,
Bank of Baroda,BARB0PUNJAB,110012027,Punjabi Baug Branch,"Punjabi Baug Branch, Community Centre, Club Road, Punjabi Bagh, New Delhi - 110026",1800223344.0,New Delhi,New Delhi,Delhi,
Bank of Baroda,BARB0PUCCAB,,Pucca Bagh Hapur UP,"51 Bhagwati Ganj, Swarg Ashram Road, Hapur, Uttar Pradesh - 245101",,Bhagwatiganj,Pratapgarh,Uttar Pradesh,
Bank of Baroda,BARB0PRABHA,400012053,Prabhadevi Branch,"Prabhadevi Branch, Kamana Co-Op Hsg Socy., S.K.Bole Road, Prabhadevi, Mumbai - 400028",1800223344.0,Mumbai,Mumbai,Maharashtra,
Bank of Baroda,BARB0PRABAR,390012010,Pratapnagar Branch,"Pratapnagar Branch, Nr.Alpana Talkies, Pratap Nagar R'D, Baroda - 390004",1800223344.0,Baroda,Baroda,Gujarat,
Bank of Baroda,BARB0PATNAB,800012003,Patna City Branch,"Patna City Branch, At.+Post Office Patnacity, Patna, Bihar, Patna - 800008",1800223344.0,Patna,Patna,Bihar,
Bank of Baroda,BARB0OBRABS,231012002,"Obra, Sonbhadra, Up","Shop No 4-5 Kasturba Market, Obra, Dt.Sonbhadra - 231219",1800223344.0,Sonbhadra,Sonbhadra,Uttar Pradesh,
Bank of Baroda,BARB0NOKHAB,,"Nokha BR., Bikaner","Plot No 30-31, NH No 89, Main Bikaner Road, Opp Babu Chhotu Nath School, Nokha, Bikaner, Rajasthan - 334803",1800223344.0,Bikaner,Bikaner,Rajasthan,
Bank of Baroda,BARB0NAYABA,,Nayabazar,"Opposite Netaji Field, Pota Pokhari, Nayabazar, Cuttack, Orissa - 753004",1800223344.0,Cuttack,Cuttack,Odisha,
Bank of Baroda,BARB0NAWABG,243012517,"Nawabgunj, Bareilly","Main Market, Nawabganj, Bareilly-, UP - 262406",1800223344.0,Nawabganj,Bareilly,Uttar Pradesh,
Bank of Baroda,BARB0NAUWAB,,Nauwabaghfatehpurup,Bank of Baroda 78 AT Ambeshwar Nagar GT Road Nauwabagh Fatehpur UP - 212601,1800223344.0,Fatehpur,Fatehpur,Uttar Pradesh,
Bank of Baroda,BARB0NARABS,231012055,"Narainpur, UP","Narainpur, Mirzapur, Uttar Pradesh - 231305",1800223344.0,Narainpur,Mirzapur,Uttar Pradesh,
Bank of Baroda,BARB0NABIPU,392012502,"Nabipur, Bharuch","Sufi Manjil, Near Railway Station, Nabipur, Bahruch - 392210",1800223344.0,Nabipur,Bharuch,Gujarat,
Bank of Baroda,BARB0NABHAX,147012302,"Nabha, Patiala","Cinema Road, Nabha (Punjab) - 147201",1800223344.0,Nabha,Patiala,Punjab,
Bank of Baroda,BARB0NABARA,,Nabarangpur,"Hotel Manish Building, Nabarangpur, Orissa - 764059",1800223344.0,Nabarangapur,Nowrangpur,Odisha,
