Date,Open,High,Low,Close,Adj Close,Volume
2012-07-18,287.412720,290.755188,286.989288,289.295654,289.295654,3107900
2012-07-19,291.975616,298.122559,291.905853,295.422668,295.422668,9384300
2012-07-20,303.243378,305.325562,297.973114,304.269531,304.269531,12975800
2012-07-23,299.118835,308.020477,298.007996,306.605774,306.605774,7150000
2012-07-24,306.351715,307.811249,301.041626,302.650604,302.650604,4033800
2012-07-25,303.024200,305.544739,301.554688,302.859802,302.859802,3659600
2012-07-26,306.351715,307.283234,303.876007,305.534790,305.534790,3382900
2012-07-27,308.289459,316.314362,307.597046,316.294464,316.294464,7125900
2012-07-30,316.837402,320.100189,313.574646,314.969421,314.969421,4389700
2012-07-31,312.956970,317.061584,312.937042,315.303162,315.303162,3745100
2012-08-01,317.460083,318.560944,314.511139,315.158722,315.158722,3702900
2012-08-02,311.587097,317.823730,310.541016,313.201050,313.201050,3970100
2012-08-03,318.805054,320.658081,316.882233,319.467560,319.467560,3808300
2012-08-06,318.610779,323.477539,318.416504,320.209778,320.209778,3578000
2012-08-07,319.696686,320.927094,317.046631,319.074036,319.074036,3978300
2012-08-08,318.331818,321.729095,318.057831,319.915863,319.915863,2654200
2012-08-09,321.051605,321.978149,319.562195,319.975647,319.975647,2148500
2012-08-10,318.102661,319.920868,316.877258,319.801300,319.801300,2879800
2012-08-13,322.501190,328.842407,322.132568,328.772675,328.772675,6560200
2012-08-14,328.394104,335.168701,328.269562,333.081543,333.081543,7350800
2012-08-15,333.888489,335.866089,330.810028,332.523621,332.523621,4839400
2012-08-16,332.508667,336.060364,332.294464,335.178680,335.178680,3448200
2012-08-17,335.801331,337.360504,334.595856,337.305695,337.305695,4371600
2012-08-20,336.488770,338.167480,335.074066,336.508698,336.508698,3529300
2012-08-21,335.298218,337.734100,329.848633,333.504944,333.504944,4461000
2012-08-22,332.443909,339.029236,332.105194,337.325623,337.325623,3832600
2012-08-23,335.876068,338.969452,334.247162,337.136322,337.136322,3581700
2012-08-24,336.538574,338.954529,335.781403,338.047913,338.047913,2863800
2012-08-27,330.257111,334.745300,328.389130,333.360474,333.360474,5246900
2012-08-28,331.258362,337.544800,331.128845,337.360504,337.360504,4132600
2012-08-29,337.420258,343.208557,336.812531,342.720398,342.720398,6002900
2012-08-30,340.842438,342.411560,338.820007,339.567230,339.567230,3265900
2012-08-31,340.722900,343.004333,338.750275,341.265839,341.265839,4270000
2012-09-04,340.996857,341.221008,335.492493,339.248413,339.248413,3793200
2012-09-05,338.730347,341.968231,338.301971,339.089020,339.089020,3429100
2012-09-06,341.699219,348.638214,341.086517,348.394135,348.394135,6109700
2012-09-07,348.693024,354.795135,347.532349,351.756531,351.756531,6490100
2012-09-10,353.554779,355.074097,347.891022,349.076569,349.076569,5139100
2012-09-11,347.676819,349.016785,344.209808,344.802582,344.802582,3761500
2012-09-12,343.417786,346.157532,339.168701,344.150055,344.150055,5304300
2012-09-13,345.250916,353.176208,343.980682,351.701721,351.701721,5337900
2012-09-14,353.475098,355.168732,352.184937,353.514954,353.514954,5256500
2012-09-17,352.732880,355.108978,351.183685,353.664368,353.664368,3027800
2012-09-18,352.568481,357.988159,352.070343,357.798889,357.798889,4149000
2012-09-19,357.410339,362.919678,356.867371,362.391663,362.391663,6219700
2012-09-20,360.882324,364.324432,359.263397,362.700500,362.700500,5836500
2012-09-21,364.737885,366.087799,363.696777,365.624542,365.624542,12765800
2012-09-24,364.135132,373.619568,363.761536,373.290802,373.290802,7154200
2012-09-25,375.118958,381.016846,372.434021,373.181213,373.181213,12162400
2012-09-26,373.524933,379.198669,369.116455,375.323212,375.323212,11388200
2012-09-27,378.556091,379.995697,374.421570,376.837524,376.837524,7891600
2012-09-28,375.666901,378.232300,374.172516,375.841248,375.841248,5587700
2012-10-01,378.107758,381.071655,376.693054,379.467651,379.467651,6359700
2012-10-02,381.171265,381.564789,373.734161,377.081604,377.081604,5601200
2012-10-03,376.448975,380.533661,374.695557,379.826324,379.826324,4433100
2012-10-04,379.950836,383.507507,378.282104,382.590942,382.590942,4926700
2012-10-05,383.915985,385.744141,381.076630,382.391693,382.391693,5492200
2012-10-08,379.079132,380.364288,375.666901,377.505005,377.505005,3931800
2012-10-09,378.416595,379.238525,369.878601,370.655701,370.655701,6028900
2012-10-10,369.544861,372.369263,367.766510,370.889801,370.889801,4095000
2012-10-11,375.044250,377.833801,373.744110,374.336884,374.336884,4785600
2012-10-12,374.521210,376.025574,370.660675,370.984467,370.984467,4826400
2012-10-15,369.584717,370.526184,363.985687,369.106506,369.106506,6060700
2012-10-16,368.683075,372.100281,366.854950,370.959564,370.959564,4131800
2012-10-17,370.585968,376.757813,368.747833,376.334412,376.334412,4602900
2012-10-18,376.359314,378.292053,336.737823,346.202362,346.202362,24977900
2012-10-19,351.472595,352.030518,334.745300,339.622009,339.622009,23050400
2012-10-22,339.233459,341.036713,333.599579,338.067841,338.067841,8141500
2012-10-23,334.750275,342.381683,334.745300,338.904694,338.904694,5855000
2012-10-24,342.117645,342.217285,336.374176,337.385406,337.385406,5011600
2012-10-25,338.730347,339.726624,335.497467,337.614532,337.614532,4820100
2012-10-26,336.986877,340.239685,334.346771,336.314423,336.314423,3916200
2012-10-31,338.660614,339.228485,336.239685,338.879791,338.879791,3085400
2012-11-01,338.481293,344.160004,338.092743,342.511169,342.511169,4115500
2012-11-02,346.097748,346.476318,342.401581,342.675568,342.675568,4666100
2012-11-05,340.971954,342.147552,336.518646,340.204834,340.204834,3283900
2012-11-06,341.460114,341.968231,337.509918,339.587158,339.587158,3177300
2012-11-07,336.239685,337.848663,332.000580,332.314392,332.314392,4481200
2012-11-08,333.848663,334.491241,324.399078,324.927094,324.927094,5213300
2012-11-09,326.102692,332.922119,323.935822,330.277039,330.277039,6251500
2012-11-12,330.635681,333.649414,329.201080,331.706696,331.706696,2822300
2012-11-13,330.262085,332.553497,327.886017,328.294464,328.294464,3200200
